"Country","Year","Qty","Total_Export"
"Brazil","1990",16935.7876003,1016.147256018
"Brazil","1991",21182.7614023,1270.965684138
"Brazil","1992",18790.7192021,1127.443152126
"Brazil","1993",17837.7479992,1070.264879952
"Brazil","1994",17273.1476003,1036.388856018
"Brazil","1995",14468.4322014,868.105932084
"Brazil","1996",15250.6090018,915.036540108
"Brazil","1997",16801.2600051,1008.075600306
"Brazil","1998",18144.3883339,1088.663300034
"Brazil","1999",23149.2038037,1388.952228222
"Brazil","2000",18016.2606406,1080.975638436
"Brazil","2001",23172.486512,1390.34919072
"Brazil","2002",27981.8389351,1678.910336106
"Brazil","2003",25710.8116628,1542.648699768
"Brazil","2004",26478.4750901,1588.708505406
"Brazil","2005",26198.0554467,1571.883326802
"Brazil","2006",27368.9019587,1642.134117522
"Brazil","2007",28183.5739472,1691.014436832
"Brazil","2008",29510.2956935,1770.61774161
"Brazil","2009",30377.9816361,1822.678898166
"Brazil","2010",33166.6415897,1989.998495382
"Brazil","2011",33806.0093278,2028.360559668
"Brazil","2012",28549.4258909,1712.965553454
"Brazil","2013",31650.5629454,1899.033776724
"Brazil","2014",37335.1728254,2240.110369524
"Brazil","2015",37562.8467468,2253.770804808
"Brazil","2016",34269.1502534,2056.149015204
"Brazil","2017",30924.5678492,1855.474070952
"Brazil","2018",35382.5564866,2122.953389196
"Colombia","1990",13943.8700004,836.632200024
"Colombia","1991",12599.1849983,755.951099898
"Colombia","1992",16564.3700008,993.862200048
"Colombia","1993",13568.3620035,814.10172021
"Colombia","1994",11768.0890004,706.085340024
"Colombia","1995",9814.1969996,588.851819976
"Colombia","1996",10588.4309984,635.305859904
"Colombia","1997",10918.8630016,655.131780096
"Colombia","1998",11259.9289995,675.59573997
"Colombia","1999",9995.3100014,599.718600084
"Colombia","2000",9176.6609102,550.599654612
"Colombia","2001",9943.6300006,596.617800036
"Colombia","2002",10273.4249979,616.405499874
"Colombia","2003",10244.3919993,614.663519958
"Colombia","2004",10194.3150011,611.658900066
"Colombia","2005",10871.2469708,652.274818248
"Colombia","2006",10944.8534601,656.691207606
"Colombia","2007",11300.4206901,678.025241406
"Colombia","2008",11085.1702037,665.110212222
"Colombia","2009",7893.9267953,473.635607718
"Colombia","2010",7821.6345037,469.298070222
"Colombia","2011",7733.625254,464.01751524
"Colombia","2012",7170.203291,430.21219746
"Colombia","2013",9669.907367,580.19444202
"Colombia","2014",10954.4083574,657.264501444
"Colombia","2015",12716.3846704,762.983080224
"Colombia","2016",12831.3907266,769.883443596
"Colombia","2017",12984.5957468,779.075744808
"Colombia","2018",12807.9726245,768.47835747
"Guatemala","1990",3240.141,194.40846
"Guatemala","1991",2831.9850001,169.919100006
"Guatemala","1992",3327.9880003,199.679280018
"Guatemala","1993",3750.6870001,225.041220006
"Guatemala","1994",3274.0689998,196.444139988
"Guatemala","1995",3700.8720009,222.052320054
"Guatemala","1996",3978.998,238.73988
"Guatemala","1997",4243.8820002,254.632920012
"Guatemala","1998",3541.8530004,212.511180024
"Guatemala","1999",4680.601,280.83606
"Guatemala","2000",4851.59185,291.095511
"Guatemala","2001",4110.378,246.62268
"Guatemala","2002",3491.328,209.47968
"Guatemala","2003",3820.7999997,229.247999982
"Guatemala","2004",3309.5810002,198.574860012
"Guatemala","2005",3465.7933198,207.947599188
"Guatemala","2006",3312.1092313,198.726553878
"Guatemala","2007",3726.1669582,223.570017492
"Guatemala","2008",3777.5902024,226.655412144
"Guatemala","2009",3492.8219874,209.569319244
"Guatemala","2010",3468.0876782,208.085260692
"Guatemala","2011",3696.8254983,221.809529898
"Guatemala","2012",3750.1125361,225.006752166
"Guatemala","2013",3575.0113969,214.500683814
"Guatemala","2014",3043.4385355,182.60631213
"Guatemala","2015",2960.8620078,177.651720468
"Guatemala","2016",2991.1207581,179.467245486
"Guatemala","2017",3382.6661913,202.959971478
"Guatemala","2018",3327.4896563,199.649379378
"Honduras","1990",1735.093,104.10558
"Honduras","1991",1444.363,86.66178
"Honduras","1992",1960.071,117.60426
"Honduras","1993",1705.317,102.31902
"Honduras","1994",1718.185,103.0911
"Honduras","1995",1795.963,107.75778
"Honduras","1996",2059.76,123.5856
"Honduras","1997",1722.482,103.34892
"Honduras","1998",2329.274,139.75644
"Honduras","1999",1986.603,119.19618
"Honduras","2000",2878.56,172.7136
"Honduras","2001",2391.613,143.49678
"Honduras","2002",2711.26,162.6756
"Honduras","2003",2425.237,145.51422
"Honduras","2004",2779.189,166.75134
"Honduras","2005",2391.90535,143.514321
"Honduras","2006",2898.4144369,173.904866214
"Honduras","2007",3312.0085632,198.720513792
"Honduras","2008",3259.4549512,195.567297072
"Honduras","2009",3084.1878284,185.051269704
"Honduras","2010",3349.3976392,200.963858352
"Honduras","2011",3947.1411511,236.828469066
"Honduras","2012",5507.9849391,330.479096346
"Honduras","2013",4185.1189243,251.107135458
"Honduras","2014",4251.826667,255.10960002
"Honduras","2015",5029.6670058,301.780020348
"Honduras","2016",5305.953308,318.35719848
"Honduras","2017",7340.8439517,440.450637102
"Honduras","2018",7143.8844713,428.633068278
"India","1990",1979.1479994,118.748879964
"India","1991",1727.3589994,103.641539964
"India","1992",1816.3410004,108.980460024
"India","1993",2101.5930003,126.095580018
"India","1994",2496.0849996,149.765099976
"India","1995",2467.2570006,148.035420036
"India","1996",3103.1759998,186.190559988
"India","1997",2640.1110013,158.406660078
"India","1998",3486.8300027,209.209800162
"India","1999",3621.9589989,217.317539934
"India","2000",4228.7878502,253.727271012
"India","2001",3729.7010005,223.78206003
"India","2002",3550.1299989,213.007799934
"India","2003",3707.0660016,222.423960096
"India","2004",3647.3365209,218.840191254
"India","2005",2828.9324247,169.735945482
"India","2006",3578.2750866,214.696505196
"India","2007",3319.4056657,199.164339942
"India","2008",3376.6686651,202.600119906
"India","2009",3006.5624631,180.393747786
