"Country","Year","TotalProd","prod_million","kgpersqmile"
"Angola","1990",3020400,3.02,2.42
"Angola","2010",2098200,2.1,1.68
"Angola","2011",1723200,1.72,1.38
"Angola","2014",2364600,2.36,1.9
"Angola","2015",2431200,2.43,1.95
"Angola","2012",1967400,1.97,1.58
"Angola","2013",2096400,2.1,1.68
"Angola","2004",886200,0.89,0.71
"Angola","2005",1497600,1.5,1.2
"Angola","1991",4759800,4.76,3.82
"Angola","2003",2280600,2.28,1.83
"Angola","2008",2256600,2.26,1.81
"Angola","2009",805200,0.81,0.65
"Angola","1994",4608000,4.61,3.7
"Angola","1995",3726600,3.73,2.99
"Angola","1996",4255200,4.26,3.41
"Angola","1997",3859800,3.86,3.1
"Angola","1998",5120400,5.12,4.11
"Angola","1999",3296400,3.3,2.64
"Angola","2016",2689800,2.69,2.16
"Angola","2017",2100600,2.1,1.68
"Angola","2018",2423400,2.42,1.94
"Angola","2006",2105400,2.11,1.69
"Angola","2007",2137800,2.14,1.71
"Angola","1992",4651200,4.65,3.73
"Angola","1993",1956600,1.96,1.57
"Angola","2002",3398400,3.4,2.73
"Angola","2000",2986800,2.99,2.4
"Angola","2001",1241400,1.24,1
"Brazil","1991",1637609400,1637.61,192.39
"Brazil","1990",1637137800,1637.14,192.33
"Brazil","1995",1083612000,1083.61,127.3
"Brazil","1992",2076201000,2076.2,243.92
"Brazil","1993",1690018800,1690.02,198.55
"Brazil","1994",1691523000,1691.52,198.72
"Brazil","2014",3198286200,3198.29,375.74
"Brazil","2015",3172235400,3172.24,372.68
"Brazil","2003",1732404600,1732.4,203.53
"Brazil","2004",2356869000,2356.87,276.89
"Brazil","2005",1975978800,1975.98,232.14
"Brazil","2006",2905903800,2905.9,341.39
"Brazil","2007",2334687600,2334.69,274.28
"Brazil","2008",3089431200,3089.43,362.95
"Brazil","2009",2638608600,2638.61,309.99
"Brazil","2010",3325704600,3325.7,390.71
"Brazil","2011",2915509800,2915.51,342.52
"Brazil","2012",3325080000,3325.08,390.64
"Brazil","2013",3281338200,3281.34,385.5
"Brazil","1998",2205651000,2205.65,259.12
"Brazil","1999",2854668600,2854.67,335.37
"Brazil","2000",1878621000,1878.62,220.7
"Brazil","2001",1881906000,1881.91,221.09
"Brazil","2002",2901097800,2901.1,340.83
"Brazil","2018",3775492800,3775.49,443.55
"Brazil","1996",1751804400,1751.8,205.8
"Brazil","1997",1568880000,1568.88,184.31
"Brazil","2017",3164391600,3164.39,371.76
"Brazil","2016",3407290800,3407.29,400.29
"Burundi","2004",26222400,26.22,942.23
"Burundi","2008",24706800,24.71,887.78
"Burundi","2005",6199200,6.2,222.75
"Burundi","2007",7971600,7.97,286.44
"Burundi","1999",21033000,21.03,755.77
"Burundi","2000",29247600,29.25,1050.94
"Burundi","2006",29910000,29.91,1074.74
"Burundi","1998",29519400,29.52,1060.7
"Burundi","2003",20271600,20.27,728.41
"Burundi","2016",14927400,14.93,536.38
"Burundi","2017",12126600,12.13,435.74
"Burundi","2018",10705200,10.71,384.66
"Burundi","1993",23601000,23.6,848.04
"Burundi","1994",39848400,39.85,1431.85
"Burundi","1995",26038800,26.04,935.64
"Burundi","1996",24058200,24.06,864.47
"Burundi","1997",14986800,14.99,538.51
"Burundi","2010",21178800,21.18,761.01
"Burundi","2011",12247800,12.25,440.09
"Burundi","2001",8638800,8.64,310.41
"Burundi","2002",27223800,27.22,978.22
"Burundi","2015",16446000,16.45,590.95
"Burundi","1990",29243400,29.24,1050.79
"Burundi","1991",40032000,40.03,1438.45
"Burundi","1992",37214400,37.21,1337.2
"Burundi","2009",6696600,6.7,240.63
"Burundi","2014",14853000,14.85,533.7
"Burundi","2012",24357600,24.36,875.23
"Burundi","2013",9793200,9.79,351.89
"Cameroon","1990",100948800,100.95,212.33
"Cameroon","1991",103557000,103.56,217.81
"Cameroon","1992",15622800,15.62,32.86
"Cameroon","1993",40974600,40.97,86.18
"Cameroon","1994",24333600,24.33,51.18
"Cameroon","1995",39602400,39.6,83.3
"Cameroon","1996",85931400,85.93,180.74
"Cameroon","1997",53336400,53.34,112.18
"Cameroon","1998",66836400,66.84,140.58
"Cameroon","1999",82189200,82.19,172.87
"Cameroon","2000",66788400,66.79,140.48
"Cameroon","2001",41140800,41.14,86.53
"Cameroon","2002",48048000,48.05,101.06
"Cameroon","2003",54016800,54.02,113.61
"Cameroon","2004",43642800,43.64,91.79
"Cameroon","2005",52183200,52.18,109.76
"Cameroon","2006",49090200,49.09,103.25
"Cameroon","2007",47718000,47.72,100.37
"Cameroon","2008",43494000,43.49,91.48
"Cameroon","2009",54136800,54.14,113.87
"Cameroon","2010",31627800,31.63,66.52
"Cameroon","2011",40159200,40.16,84.47
"Cameroon","2012",22261200,22.26,46.82
"Cameroon","2013",24229800,24.23,50.96
"Cameroon","2014",28986600,28.99,60.97
"Cameroon","2015",23450400,23.45,49.32
"Cameroon","2016",17512800,17.51,36.83
"Cameroon","2017",22173000,22.17,46.64
"Cameroon","2018",16218000,16.22,34.11
"Central African Rep.","1990",10516200,10.52,16.88
"Central African Rep.","1991",7486800,7.49,12.02
"Central African Rep.","1992",8030400,8.03,12.89
"Central African Rep.","1993",9934200,9.93,15.95
"Central African Rep.","1994",14970600,14.97,24.03
"Central African Rep.","1995",6483600,6.48,10.41
"Central African Rep.","1996",12469800,12.47,20.02
"Central African Rep.","1997",6861000,6.86,11.01
"Central African Rep.","1998",12874800,12.87,20.67
"Central African Rep.","1999",14440800,14.44,23.18
"Central African Rep.","2000",6798600,6.8,10.91
"Central African Rep.","2001",4090200,4.09,6.57
"Central African Rep.","2002",5525400,5.53,8.87
"Central African Rep.","2003",2563800,2.56,4.12
"Central African Rep.","2004",1723200,1.72,2.77
"Central African Rep.","2005",1389600,1.39,2.23
"Central African Rep.","2006",6810000,6.81,10.93
"Central African Rep.","2007",2608200,2.61,4.19
"Central African Rep.","2008",3577200,3.58,5.74
"Central African Rep.","2009",6726600,6.73,10.8
"Central African Rep.","2010",4707600,4.71,7.56
"Central African Rep.","2011",5479800,5.48,8.8
"Central African Rep.","2012",1373400,1.37,2.2
"Central African Rep.","2013",5406000,5.41,8.68
"Central African Rep.","2014",3756600,3.76,6.03
"Central African Rep.","2015",6001200,6,9.63
"Central African Rep.","2016",2203800,2.2,3.54
"Central African Rep.","2017",3594600,3.59,5.77
"Central African Rep.","2018",3450000,3.45,5.54
"Colombia","1990",863760000,863.76,758.41
"Colombia","1991",1078824000,1078.82,947.24
"Colombia","1992",896812800,896.81,787.43
"Colombia","1993",685345200,685.35,601.76
"Colombia","1994",777840000,777.84,682.97
"Colombia","1995",776281200,776.28,681.6
"Colombia","1996",646731000,646.73,567.85
"Colombia","1997",727350000,727.35,638.64
"Colombia","1998",652077600,652.08,572.55
"Colombia","1999",570735000,570.74,501.12
"Colombia","2000",631161000,631.16,554.18
"Colombia","2001",717016800,717.02,629.56
"Colombia","2002",702722400,702.72,617.01
"Colombia","2003",663157200,663.16,582.27
"Colombia","2004",685731600,685.73,602.09
"Colombia","2005",717138000,717.14,629.67
"Colombia","2006",729851400,729.85,640.83
"Colombia","2007",750906000,750.91,659.32
"Colombia","2008",519857400,519.86,456.45
"Colombia","2009",485855400,485.86,426.6
"Colombia","2010",511359600,511.36,448.99
"Colombia","2011",459199800,459.2,403.19
"Colombia","2012",595616400,595.62,522.97
"Colombia","2013",727444200,727.44,638.72
"Colombia","2014",800000400,800,702.43
"Colombia","2015",840526800,840.53,738.01
"Colombia","2016",878063400,878.06,770.97
"Colombia","2017",829444200,829.44,728.28
"Colombia","2018",831477600,831.48,730.06
"Congo, Repub. of the","1990",94818000,94.82,277.25
"Congo, Repub. of the","1991",73794000,73.79,215.77
"Congo, Repub. of the","1992",70809600,70.81,207.05
"Congo, Repub. of the","1993",58815600,58.82,171.98
"Congo, Repub. of the","1994",77868600,77.87,227.69
"Congo, Repub. of the","1995",65889000,65.89,192.66
"Congo, Repub. of the","1996",47674800,47.67,139.4
"Congo, Repub. of the","1997",48673200,48.67,142.32
"Congo, Repub. of the","1998",44284800,44.28,129.49
"Congo, Repub. of the","1999",28629000,28.63,83.71
"Congo, Repub. of the","2000",21752400,21.75,63.6
"Congo, Repub. of the","2001",25390800,25.39,74.24
"Congo, Repub. of the","2002",20272200,20.27,59.28
"Congo, Repub. of the","2003",27063600,27.06,79.13
"Congo, Repub. of the","2004",21585000,21.59,63.11
"Congo, Repub. of the","2005",20172000,20.17,58.98
"Congo, Repub. of the","2006",22651200,22.65,66.23
"Congo, Repub. of the","2007",24955800,24.96,72.97
"Congo, Repub. of the","2008",25317600,25.32,74.03
"Congo, Repub. of the","2009",20750400,20.75,60.67
"Congo, Repub. of the","2010",18309600,18.31,53.54
"Congo, Repub. of the","2011",21392400,21.39,62.55
"Congo, Repub. of the","2012",20043000,20.04,58.61
"Congo, Repub. of the","2013",20825400,20.83,60.89
"Congo, Repub. of the","2014",20092200,20.09,58.75
"Congo, Repub. of the","2015",22236600,22.24,65.02
"Congo, Repub. of the","2016",16763400,16.76,49.02
"Congo, Repub. of the","2017",22902000,22.9,66.96
"Congo, Repub. of the","2018",21643200,21.64,63.28
"Costa Rica","1990",153713400,153.71,3008.09
"Costa Rica","1991",165577200,165.58,3240.26
"Costa Rica","1992",179878200,179.88,3520.12
"Costa Rica","1993",141525000,141.52,2769.57
"Costa Rica","1994",148916400,148.92,2914.22
"Costa Rica","1995",170616000,170.62,3338.86
"Costa Rica","1996",133315200,133.32,2608.91
"Costa Rica","1997",156996000,157,3072.33
"Costa Rica","1998",146707200,146.71,2870.98
"Costa Rica","1999",149119800,149.12,2918.2
"Costa Rica","2000",145112400,145.11,2839.77
"Costa Rica","2001",134802000,134.8,2638
"Costa Rica","2002",122604600,122.6,2399.31
"Costa Rica","2003",113185800,113.19,2214.99
"Costa Rica","2004",112550400,112.55,2202.55
"Costa Rica","2005",99151800,99.15,1940.35
"Costa Rica","2006",102364200,102.36,2003.21
"Costa Rica","2007",107828400,107.83,2110.14
"Costa Rica","2008",89995200,90,1761.16
"Costa Rica","2009",88605000,88.61,1733.95
"Costa Rica","2010",96822000,96.82,1894.76
"Costa Rica","2011",109854000,109.85,2149.78
"Costa Rica","2012",109361400,109.36,2140.14
"Costa Rica","2013",93124800,93.12,1822.4
"Costa Rica","2014",88503600,88.5,1731.97
"Costa Rica","2015",86410200,86.41,1691
"Costa Rica","2016",82314000,82.31,1610.84
"Costa Rica","2017",93640800,93.64,1832.5
"Costa Rica","2018",85599600,85.6,1675.14
"Cote d'Ivoire","1990",176421600,176.42,547.11
"Cote d'Ivoire","1991",247758000,247.76,768.34
"Cote d'Ivoire","1992",134732400,134.73,417.83
"Cote d'Ivoire","1993",137604600,137.6,426.73
"Cote d'Ivoire","1994",180386400,180.39,559.41
"Cote d'Ivoire","1995",151911600,151.91,471.1
"Cote d'Ivoire","1996",291515400,291.52,904.04
"Cote d'Ivoire","1997",249840000,249.84,774.79
"Cote d'Ivoire","1998",119493000,119.49,370.57
"Cote d'Ivoire","1999",379226400,379.23,1176.04
"Cote d'Ivoire","2000",290735400,290.74,901.62
"Cote d'Ivoire","2001",215767200,215.77,669.13
"Cote d'Ivoire","2002",180578400,180.58,560
"Cote d'Ivoire","2003",178875000,178.88,554.72
"Cote d'Ivoire","2004",128136000,128.14,397.37
"Cote d'Ivoire","2005",125942400,125.94,390.57
"Cote d'Ivoire","2006",170876400,170.88,529.92
"Cote d'Ivoire","2007",80288400,80.29,248.99
"Cote d'Ivoire","2008",151579800,151.58,470.07
"Cote d'Ivoire","2009",119322000,119.32,370.04
"Cote d'Ivoire","2010",50203200,50.2,155.69
"Cote d'Ivoire","2011",132980400,132.98,412.39
"Cote d'Ivoire","2012",119630400,119.63,370.99
"Cote d'Ivoire","2013",155866200,155.87,483.37
"Cote d'Ivoire","2014",103682400,103.68,321.54
"Cote d'Ivoire","2015",77344800,77.34,239.86
"Cote d'Ivoire","2016",49044000,49.04,152.09
"Cote d'Ivoire","2017",88431000,88.43,274.24
"Cote d'Ivoire","2018",137660400,137.66,426.91
"Cuba","1990",24852600,24.85,224.18
"Cuba","1991",18126000,18.13,163.5
"Cuba","1992",17054400,17.05,153.84
"Cuba","1993",17124000,17.12,154.47
"Cuba","1994",17059200,17.06,153.88
"Cuba","1995",17097600,17.1,154.23
"Cuba","1996",21951600,21.95,198.01
"Cuba","1997",18001200,18,162.38
"Cuba","1998",16797000,16.8,151.52
"Cuba","1999",19679400,19.68,177.52
"Cuba","2000",18745800,18.75,169.09
"Cuba","2001",17098200,17.1,154.23
"Cuba","2002",14346000,14.35,129.41
"Cuba","2003",13410600,13.41,120.97
"Cuba","2004",10798800,10.8,97.41
"Cuba","2005",5974800,5.97,53.9
"Cuba","2006",6291000,6.29,56.75
"Cuba","2007",6591600,6.59,59.46
"Cuba","2008",8007000,8.01,72.23
"Cuba","2009",5526000,5.53,49.85
"Cuba","2010",6510000,6.51,58.72
"Cuba","2011",6009600,6.01,54.21
"Cuba","2012",5288400,5.29,47.7
"Cuba","2013",6400800,6.4,57.74
"Cuba","2014",6085200,6.09,54.89
"Cuba","2015",5989200,5.99,54.02
"Cuba","2016",6156000,6.16,55.53
"Cuba","2017",6793800,6.79,61.28
"Cuba","2018",7077000,7.08,63.84
"Dominican Republic","1990",52803600,52.8,1083.6
"Dominican Republic","1991",19233600,19.23,394.7
"Dominican Republic","1992",38269200,38.27,785.33
"Dominican Republic","1993",36236400,36.24,743.62
"Dominican Republic","1994",43780200,43.78,898.42
"Dominican Republic","1995",53137200,53.14,1090.44
"Dominican Republic","1996",31131000,31.13,638.85
"Dominican Republic","1997",56474400,56.47,1158.92
"Dominican Republic","1998",29195400,29.2,599.13
"Dominican Republic","1999",36412800,36.41,747.24
"Dominican Republic","2000",28022400,28.02,575.05
"Dominican Republic","2001",23217600,23.22,476.45
"Dominican Republic","2002",27312000,27.31,560.48
"Dominican Republic","2003",21040200,21.04,431.77
"Dominican Republic","2004",29440800,29.44,604.16
"Dominican Republic","2005",18603000,18.6,381.76
"Dominican Republic","2006",23200200,23.2,476.1
"Dominican Republic","2007",27894600,27.89,572.43
"Dominican Republic","2008",38701800,38.7,794.21
"Dominican Republic","2009",21147600,21.15,433.97
"Dominican Republic","2010",22689600,22.69,465.62
"Dominican Republic","2011",29432400,29.43,603.99
"Dominican Republic","2012",29305800,29.31,601.39
"Dominican Republic","2013",25523400,25.52,523.77
"Dominican Republic","2014",23817000,23.82,488.75
"Dominican Republic","2015",23997000,24,492.45
"Dominican Republic","2016",24732600,24.73,507.54
"Dominican Republic","2017",24745800,24.75,507.81
"Dominican Republic","2018",25854600,25.85,530.57
"Ecuador","1992",71128800,71.13,250.84
"Ecuador","1991",127429200,127.43,449.39
"Ecuador","1996",119574600,119.57,421.69
"Ecuador","1993",124140600,124.14,437.79
"Ecuador","1990",90229200,90.23,318.2
"Ecuador","1995",113293800,113.29,399.54
"Ecuador","2014",38640600,38.64,136.27
"Ecuador","2015",38669400,38.67,136.37
"Ecuador","2016",38692800,38.69,136.45
"Ecuador","2017",37414200,37.41,131.94
"Ecuador","2018",36060000,36.06,127.17
"Ecuador","2004",46825800,46.83,165.14
"Ecuador","2005",56118000,56.12,197.91
"Ecuador","1994",142546200,142.55,502.7
"Ecuador","2009",48796800,48.8,172.09
"Ecuador","2010",51238800,51.24,180.7
"Ecuador","2011",49524600,49.52,174.65
"Ecuador","2012",49686000,49.69,175.22
"Ecuador","2013",39932400,39.93,140.83
"Ecuador","1999",71860800,71.86,253.42
"Ecuador","2000",51229200,51.23,180.66
"Ecuador","2001",47571000,47.57,167.76
"Ecuador","2002",34933200,34.93,123.2
"Ecuador","2003",38447400,38.45,135.59
"Ecuador","2008",46239000,46.24,163.07
"Ecuador","2006",62071200,62.07,218.9
"Ecuador","2007",57024000,57.02,201.1
"Ecuador","1997",71439600,71.44,251.94
"Ecuador","1998",72358200,72.36,255.18
"El Salvador","1990",147891600,147.89,7029.07
"El Salvador","1991",131861400,131.86,6267.18
"El Salvador","1992",180078000,180.08,8558.84
"El Salvador","1993",142708800,142.71,6782.74
"El Salvador","1994",137608200,137.61,6540.31
"El Salvador","1995",155110800,155.11,7372.19
"El Salvador","1996",152014200,152.01,7225.01
"El Salvador","1997",130488600,130.49,6201.93
"El Salvador","1998",123277800,123.28,5859.21
"El Salvador","1999",155888400,155.89,7409.14
"El Salvador","2000",102267000,102.27,4860.6
"El Salvador","2001",101638200,101.64,4830.71
"El Salvador","2002",81682800,81.68,3882.26
"El Salvador","2003",82806000,82.81,3935.65
"El Salvador","2004",71812200,71.81,3413.13
"El Salvador","2005",79115400,79.12,3760.24
"El Salvador","2006",74019600,74.02,3518.04
"El Salvador","2007",90299400,90.3,4291.8
"El Salvador","2008",87013800,87.01,4135.64
"El Salvador","2009",64477800,64.48,3064.53
"El Salvador","2010",112396200,112.4,5342.02
"El Salvador","2011",69825600,69.83,3318.71
"El Salvador","2012",74375400,74.38,3534.95
"El Salvador","2013",30900000,30.9,1468.63
"El Salvador","2014",39900000,39.9,1896.39
"El Salvador","2015",33900000,33.9,1611.22
"El Salvador","2016",36600000,36.6,1739.54
"El Salvador","2017",45576600,45.58,2166.19
"El Salvador","2018",45655200,45.66,2169.92
"Equatorial Guinea","1990",212400,0.21,7.57
"Equatorial Guinea","1991",153000,0.15,5.45
"Equatorial Guinea","1992",101400,0.1,3.61
"Equatorial Guinea","1993",0,0,0
"Equatorial Guinea","1994",191400,0.19,6.82
"Equatorial Guinea","1995",108600,0.11,3.87
"Equatorial Guinea","1996",67200,0.07,2.4
"Equatorial Guinea","1997",100200,0.1,3.57
"Equatorial Guinea","1998",62400,0.06,2.22
"Equatorial Guinea","1999",10800,0.01,0.39
"Equatorial Guinea","2000",0,0,0
"Equatorial Guinea","2001",0,0,0
"Equatorial Guinea","2002",0,0,0
"Equatorial Guinea","2003",0,0,0
"Equatorial Guinea","2004",0,0,0
"Equatorial Guinea","2005",0,0,0
"Equatorial Guinea","2006",0,0,0
"Equatorial Guinea","2007",0,0,0
"Equatorial Guinea","2008",0,0,0
"Equatorial Guinea","2009",0,0,0
"Equatorial Guinea","2010",0,0,0
"Equatorial Guinea","2011",0,0,0
"Equatorial Guinea","2012",0,0,0
"Equatorial Guinea","2013",0,0,0
"Equatorial Guinea","2014",0,0,0
"Equatorial Guinea","2015",0,0,0
"Equatorial Guinea","2016",0,0,0
"Equatorial Guinea","2017",3000,0,0.11
"Equatorial Guinea","2018",600,0,0.02
"Ethiopia","1990",174567000,174.57,154.88
"Ethiopia","1991",175479600,175.48,155.69
"Ethiopia","1992",109510200,109.51,97.16
"Ethiopia","1993",178020000,178.02,157.94
"Ethiopia","1994",165763800,165.76,147.07
"Ethiopia","1995",189919200,189.92,168.5
"Ethiopia","1996",204446400,204.45,181.39
"Ethiopia","1997",183411600,183.41,162.72
"Ethiopia","1998",175663200,175.66,155.85
"Ethiopia","1999",227043000,227.04,201.44
"Ethiopia","2000",186909000,186.91,165.83
"Ethiopia","2001",242654400,242.65,215.29
"Ethiopia","2002",245634000,245.63,217.93
"Ethiopia","2003",263623200,263.62,233.89
"Ethiopia","2004",312777000,312.78,277.5
"Ethiopia","2005",286769400,286.77,254.43
"Ethiopia","2006",333044400,333.04,295.48
"Ethiopia","2007",358000800,358,317.62
"Ethiopia","2008",296939400,296.94,263.45
"Ethiopia","2009",415872000,415.87,368.97
"Ethiopia","2010",450022800,450.02,399.27
"Ethiopia","2011",407904600,407.9,361.9
"Ethiopia","2012",373980600,373.98,331.8
"Ethiopia","2013",385646400,385.65,342.15
"Ethiopia","2014",394515600,394.52,350.02
"Ethiopia","2015",402838800,402.84,357.4
"Ethiopia","2016",437818800,437.82,388.44
"Ethiopia","2017",447223800,447.22,396.78
"Ethiopia","2018",466573200,466.57,413.95
"Gabon","1990",204600,0.2,0.76
"Gabon","1991",105000,0.1,0.39
"Gabon","1992",183600,0.18,0.69
"Gabon","1993",172800,0.17,0.65
"Gabon","1994",462000,0.46,1.73
"Gabon","1995",106200,0.11,0.4
"Gabon","1996",76800,0.08,0.29
"Gabon","1997",160200,0.16,0.6
"Gabon","1998",226200,0.23,0.85
"Gabon","1999",123600,0.12,0.46
"Gabon","2000",0,0,0
"Gabon","2001",49200,0.05,0.18
"Gabon","2002",75000,0.07,0.28
"Gabon","2003",18000,0.02,0.07
"Gabon","2004",18000,0.02,0.07
"Gabon","2005",41400,0.04,0.15
"Gabon","2006",84000,0.08,0.31
"Gabon","2007",43200,0.04,0.16
"Gabon","2008",124200,0.12,0.46
"Gabon","2009",29400,0.03,0.11
"Gabon","2010",109800,0.11,0.41
"Gabon","2011",46800,0.05,0.17
"Gabon","2012",45000,0.04,0.17
"Gabon","2013",22800,0.02,0.09
"Gabon","2014",31200,0.03,0.12
"Gabon","2015",44400,0.04,0.17
"Gabon","2016",30000,0.03,0.11
"Gabon","2017",15600,0.02,0.06
"Gabon","2018",30000,0.03,0.11
"Ghana","1990",2271000,2.27,9.48
"Ghana","1991",4578600,4.58,19.12
"Ghana","1992",2196000,2.2,9.17
"Ghana","1993",2722800,2.72,11.37
"Ghana","1994",3430800,3.43,14.33
"Ghana","1995",3391800,3.39,14.16
"Ghana","1996",1945200,1.95,8.12
"Ghana","1997",1636200,1.64,6.83
"Ghana","1998",3266400,3.27,13.64
"Ghana","1999",5334000,5.33,22.28
"Ghana","2000",4587600,4.59,19.16
"Ghana","2001",436800,0.44,1.82
"Ghana","2002",2017800,2.02,8.43
"Ghana","2003",1088400,1.09,4.55
"Ghana","2004",1086600,1.09,4.54
"Ghana","2005",742200,0.74,3.1
"Ghana","2006",1212600,1.21,5.06
"Ghana","2007",2079600,2.08,8.68
